timestamp_s,x_m,y_m,z_m,qx,qy,qz,qw,vx_mps,vy_mps,vz_mps,wx_radps,wy_radps,wz_radps,cmd_v_mps,cmd_w_radps
1.90000000,7.22945690,1.45484650,0.01347091,0.02007729,0.00680417,0.89645278,-0.44263193,-0.39477476,-0.51565897,0.02731302,0.00016009,0.00016009,0.00533644,0.64999789,0.00534124
1.92000000,7.22156239,1.44453263,0.01401717,0.02007762,0.00680319,0.89643121,-0.44267568,-0.39472482,-0.51569802,0.02731270,0.00013266,0.00013266,0.00442199,0.64999855,0.00442596
1.94000000,7.21366835,1.43421817,0.01456342,0.02007792,0.00680231,0.89641178,-0.44271496,-0.39467961,-0.51573271,0.02731238,0.00013077,0.00013076,0.00435884,0.64999861,0.00436276
1.96000000,7.20577526,1.42390299,0.01510966,0.02007822,0.00680144,0.89639264,-0.44275370,-0.39463502,-0.51576692,0.02731207,0.00012901,0.00012901,0.00430030,0.64999861,0.00430417
1.98000000,7.19788361,1.41358721,0.01566648,0.02231586,0.00569238,0.89631575,-0.44281790,-0.39443779,-0.51580983,0.02927951,0.00014860,0.00012737,0.00424578,0.64999866,0.00425029
2.00000000,7.18999529,1.40327048,0.01625207,0.02231610,0.00569144,0.89629710,-0.44285566,-0.39439431,-0.51584315,0.02927899,0.00014663,0.00012568,0.00418947,0.64999872,0.00419392
2.02000000,7.18210793,1.39295197,0.01680244,0.02121198,0.00345096,0.89629978,-0.44292754,-0.39437404,-0.51599848,0.02670301,0.00014459,0.00010328,0.00413106,0.64999872,0.00413488
2.04000000,7.17422104,1.38263142,0.01733649,0.02121212,0.00345009,0.89628166,-0.44296423,-0.39433181,-0.51603085,0.02670234,0.00014244,0.00010175,0.00406986,0.64999878,0.00407363
2.06000000,7.16633511,1.37231040,0.01787053,0.02121226,0.00344924,0.89626378,-0.44300038,-0.39429018,-0.51606274,0.02670169,0.00014046,0.00010033,0.00401327,0.64999878,0.00401698
2.08000000,7.15844965,1.36198878,0.01840456,0.02121237,0.00344858,0.89625013,-0.44302809,-0.39425859,-0.51608753,0.02670120,0.00010740,0.00007671,0.00306857,0.64999932,0.00307141
2.10000000,7.15056515,1.35166657,0.01893857,0.02121247,0.00344794,0.89623672,-0.44305518,-0.39422739,-0.51611143,0.02670070,0.00010507,0.00007505,0.00300200,0.64999932,0.00300477
2.12000000,7.14268064,1.34134400,0.01947258,0.02121257,0.00344731,0.89622360,-0.44308171,-0.39419684,-0.51613480,0.02670022,0.00010283,0.00007345,0.00293809,0.64999938,0.00294080
2.14000000,7.13479757,1.33102095,0.02000658,0.02121267,0.00344669,0.89621079,-0.44310766,-0.39416695,-0.51615769,0.02669974,0.00010069,0.00007192,0.00287681,0.64999938,0.00287947
2.16000000,7.12691450,1.32069755,0.02054057,0.02121277,0.00344609,0.89619821,-0.44313309,-0.39413765,-0.51618010,0.02669928,0.00009864,0.00007045,0.00281816,0.64999944,0.00282076
2.18000000,7.11903238,1.31037354,0.02107454,0.02121287,0.00344550,0.89618587,-0.44315800,-0.39410895,-0.51620209,0.02669882,0.00009667,0.00006905,0.00276211,0.64999944,0.00276466
2.20000000,7.11115026,1.30004919,0.02160851,0.02121296,0.00344492,0.89617378,-0.44318244,-0.39408079,-0.51622361,0.02669838,0.00009480,0.00006772,0.00270867,0.64999944,0.00271117
2.22000000,7.10326910,1.28972447,0.02214248,0.02121304,0.00344444,0.89616370,-0.44320288,-0.39405739,-0.51624185,0.02669801,0.00006552,0.00004680,0.00187192,0.64999974,0.00187365
2.24000000,7.09538841,1.27939939,0.02267643,0.02121310,0.00344405,0.89615554,-0.44321933,-0.39403847,-0.51625633,0.02669771,0.00006360,0.00004543,0.00181717,0.64999974,0.00181885
2.26000000,7.08750772,1.26907408,0.02321038,0.02121316,0.00344367,0.89614767,-0.44323528,-0.39402011,-0.51627040,0.02669742,0.00006173,0.00004409,0.00176372,0.64999980,0.00176535
2.28000000,7.07962751,1.25874841,0.02374433,0.02121322,0.00344331,0.89613998,-0.44325075,-0.39400226,-0.51628405,0.02669714,0.00005990,0.00004279,0.00171148,0.64999980,0.00171306
2.30000000,7.07174778,1.24842262,0.02427826,0.02121328,0.00344295,0.89613259,-0.44326577,-0.39398497,-0.51629728,0.02669686,0.00005811,0.00004151,0.00166037,0.64999980,0.00166190
2.32000000,7.06386852,1.23809648,0.02481220,0.02121334,0.00344261,0.89612538,-0.44328034,-0.39396816,-0.51631010,0.02669660,0.00005636,0.00004026,0.00161031,0.64999980,0.00161180
2.34000000,7.05598927,1.22777009,0.02534613,0.02121339,0.00344227,0.89611840,-0.44329447,-0.39395189,-0.51632255,0.02669634,0.00005464,0.00003903,0.00156122,0.64999980,0.00156266
2.36000000,7.04811049,1.21744347,0.02588005,0.02121345,0.00344195,0.89611161,-0.44330814,-0.39393613,-0.51633459,0.02669609,0.00005295,0.00003782,0.00151299,0.64999986,0.00151439
2.38000000,7.04023170,1.20711660,0.02641397,0.02121347,0.00344177,0.89610785,-0.44331571,-0.39392748,-0.51634133,0.02669596,0.00002904,0.00002074,0.00082979,0.64999998,0.00083055
2.40000000,7.03235340,1.19678974,0.02693184,0.02010742,0.00120216,0.89612257,-0.44334930,-0.39394820,-0.51645243,0.02411720,0.00002751,0.00001572,0.00078611,0.64999998,0.00078675
2.42000000,7.02447462,1.18646049,0.02741418,0.02010743,0.00120201,0.89611924,-0.44335604,-0.39394042,-0.51645839,0.02411704,0.00002591,0.00001480,0.00074022,0.64999998,0.00074082
2.44000000,7.01659584,1.17613125,0.02789652,0.02010744,0.00120187,0.89611608,-0.44336236,-0.39393315,-0.51646394,0.02411690,0.00002422,0.00001384,0.00069198,0.64999998,0.00069254
2.46000000,7.00871754,1.16580200,0.02837885,0.02010745,0.00120174,0.89611322,-0.44336823,-0.39392635,-0.51646912,0.02411677,0.00002252,0.00001287,0.00064343,0.64999998,0.00064396
2.48000000,7.00083876,1.15547252,0.02886119,0.02010745,0.00120162,0.89611048,-0.44337368,-0.39392009,-0.51647395,0.02411664,0.00002080,0.00001189,0.00059441,0.64999998,0.00059489
2.50000000,6.99296045,1.14514291,0.02934352,0.02010746,0.00120151,0.89610803,-0.44337869,-0.39391434,-0.51647830,0.02411653,0.00001906,0.00001089,0.00054470,0.64999998,0.00054515
2.52000000,6.98508263,1.13481331,0.02982585,0.02010746,0.00120145,0.89610678,-0.44338119,-0.39391145,-0.51648057,0.02411647,0.00000133,0.00000076,0.00003814,0.64999998,0.00003817
2.54000000,6.97720432,1.12448370,0.03030817,0.02010746,0.00120145,0.89610672,-0.44338125,-0.39391136,-0.51648062,0.02411647,-0.00000004,-0.00000002,-0.00000120,0.64999998,-0.00000120
2.56000000,6.96932602,1.11415410,0.03079050,0.02010746,0.00120145,0.89610690,-0.44338098,-0.39391169,-0.51648039,0.02411648,-0.00000145,-0.00000083,-0.00004142,0.64999998,-0.00004145
2.58000000,6.96144772,1.10382450,0.03127283,0.02010746,0.00120147,0.89610720,-0.44338033,-0.39391243,-0.51647979,0.02411649,-0.00000289,-0.00000165,-0.00008267,0.64999998,-0.00008274
2.60000000,6.95356941,1.09349489,0.03175516,0.02010746,0.00120149,0.89610773,-0.44337931,-0.39391363,-0.51647890,0.02411651,-0.00000438,-0.00000250,-0.00012516,0.64999998,-0.00012526
2.62000000,6.94569111,1.08316541,0.03223750,0.02010745,0.00120152,0.89610839,-0.44337788,-0.39391527,-0.51647764,0.02411654,-0.00000592,-0.00000338,-0.00016908,0.64999998,-0.00016922
2.64000000,6.93781281,1.07283580,0.03271983,0.02010745,0.00120156,0.89610934,-0.44337606,-0.39391735,-0.51647604,0.02411659,-0.00000751,-0.00000429,-0.00021468,0.64999998,-0.00021485
2.66000000,6.92993450,1.06250632,0.03320216,0.02010745,0.00120161,0.89611042,-0.44337383,-0.39391994,-0.51647407,0.02411664,-0.00000918,-0.00000524,-0.00026222,0.64999998,-0.00026244
2.68000000,6.92205572,1.05217695,0.03368449,0.02010744,0.00120173,0.89611292,-0.44336879,-0.39392573,-0.51646960,0.02411675,-0.00001991,-0.00001138,-0.00056890,0.64999998,-0.00056936
2.70000000,6.91417742,1.04184759,0.03416683,0.02010744,0.00120185,0.89611554,-0.44336346,-0.39393190,-0.51646495,0.02411687,-0.00002109,-0.00001205,-0.00060270,0.64999998,-0.00060319
2.72000000,6.90629864,1.03151834,0.03464917,0.02010743,0.00120197,0.89611834,-0.44335783,-0.39393839,-0.51645994,0.02411700,-0.00002233,-0.00001276,-0.00063813,0.64999998,-0.00063864
2.74000000,6.89841986,1.02118921,0.03513151,0.02010742,0.00120211,0.89612132,-0.44335184,-0.39394528,-0.51645470,0.02411714,-0.00002364,-0.00001351,-0.00067539,0.64999998,-0.00067594
2.76000000,6.89054060,1.01086020,0.03561386,0.02010741,0.00120225,0.89612442,-0.44334552,-0.39395255,-0.51644909,0.02411728,-0.00002502,-0.00001429,-0.00071472,0.64999998,-0.00071531
2.78000000,6.88266134,1.00053132,0.03609620,0.02010740,0.00120240,0.89612776,-0.44333881,-0.39396027,-0.51644319,0.02411743,-0.00002647,-0.00001513,-0.00075638,0.64999998,-0.00075699
2.80000000,6.87478209,0.99020261,0.03657855,0.02010739,0.00120256,0.89613128,-0.44333175,-0.39396843,-0.51643699,0.02411759,-0.00002802,-0.00001601,-0.00080066,0.64999998,-0.00080131
2.82000000,6.86690283,0.97987396,0.03706091,0.02010738,0.00120274,0.89613515,-0.44332385,-0.39397752,-0.51643002,0.02411777,-0.00003264,-0.00001865,-0.00093244,0.64999992,-0.00093320
2.84000000,6.85902309,0.96954548,0.03754327,0.02010737,0.00120293,0.89613938,-0.44331530,-0.39398739,-0.51642251,0.02411797,-0.00003365,-0.00001923,-0.00096145,0.64999992,-0.00096223
2.86000000,6.85114288,0.95921713,0.03802563,0.02010736,0.00120313,0.89614373,-0.44330645,-0.39399755,-0.51641470,0.02411817,-0.00003473,-0.00001985,-0.00099243,0.64999992,-0.00099324
2.88000000,6.84326315,0.94888896,0.03850800,0.02010735,0.00120333,0.89614826,-0.44329733,-0.39400807,-0.51640666,0.02411837,-0.00003590,-0.00002051,-0.00102559,0.64999992,-0.00102643
2.90000000,6.83538246,0.93856096,0.03899037,0.02010733,0.00120354,0.89615291,-0.44328788,-0.39401895,-0.51639837,0.02411859,-0.00003714,-0.00002122,-0.00106116,0.64999992,-0.00106202
2.92000000,6.82750225,0.92823309,0.03947274,0.02010732,0.00120376,0.89615780,-0.44327810,-0.39403021,-0.51638973,0.02411881,-0.00003848,-0.00002199,-0.00109941,0.64999992,-0.00110030
2.94000000,6.81962156,0.91790545,0.03995512,0.02010731,0.00120399,0.89616281,-0.44326797,-0.39404190,-0.51638079,0.02411904,-0.00003992,-0.00002281,-0.00114064,0.64999992,-0.00114156
2.96000000,6.81174040,0.90757799,0.04043750,0.02010729,0.00120423,0.89616799,-0.44325742,-0.39405406,-0.51637149,0.02411928,-0.00004148,-0.00002370,-0.00118520,0.64999992,-0.00118616
2.98000000,6.80385923,0.89725071,0.04091990,0.02010728,0.00120446,0.89617306,-0.44324723,-0.39406583,-0.51636255,0.02411951,-0.00004007,-0.00002290,-0.00114487,0.64999992,-0.00114580
3.00000000,6.79597759,0.88692355,0.04140229,0.02010741,0.00120462,0.89617825,-0.44323677,-0.39407787,-0.51635331,0.02411988,-0.00004105,-0.00002346,-0.00117285,0.64999992,-0.00117380
3.02000000,6.78809595,0.87659663,0.04188469,0.02010740,0.00120486,0.89618355,-0.44322604,-0.39409024,-0.51634383,0.02412012,-0.00004211,-0.00002406,-0.00120313,0.64999992,-0.00120410
3.04000000,6.78021383,0.86626989,0.04236710,0.02010738,0.00120510,0.89618897,-0.44321501,-0.39410293,-0.51633412,0.02412037,-0.00004326,-0.00002472,-0.00123594,0.64999992,-0.00123694
3.06000000,6.77233171,0.85594338,0.04284951,0.02010737,0.00120536,0.89619458,-0.44320369,-0.39411598,-0.51632416,0.02412063,-0.00004450,-0.00002543,-0.00127154,0.64999986,-0.00127257
3.08000000,6.76444912,0.84561706,0.04333192,0.02010735,0.00120562,0.89620036,-0.44319201,-0.39412943,-0.51631385,0.02412090,-0.00004586,-0.00002620,-0.00131022,0.64999986,-0.00131128
3.10000000,6.75656605,0.83529091,0.04381435,0.02010734,0.00120589,0.89620632,-0.44317997,-0.39414328,-0.51630324,0.02412117,-0.00004733,-0.00002705,-0.00135233,0.64999986,-0.00135343
3.12000000,6.74868298,0.82496500,0.04429678,0.02010732,0.00120615,0.89621198,-0.44316849,-0.39415655,-0.51629317,0.02412143,-0.00004148,-0.00002370,-0.00118516,0.64999992,-0.00118612
3.14000000,6.74079990,0.81463933,0.04477921,0.02010731,0.00120639,0.89621735,-0.44315767,-0.39416900,-0.51628363,0.02412168,-0.00004240,-0.00002423,-0.00121151,0.64999992,-0.00121249
3.16000000,6.73291636,0.80431378,0.04526164,0.02010729,0.00120664,0.89622283,-0.44314662,-0.39418173,-0.51627392,0.02412193,-0.00004340,-0.00002480,-0.00124012,0.64999986,-0.00124112
3.18000000,6.72503233,0.79398757,0.04571405,0.01900112,-0.00103303,0.89624369,-0.44315359,-0.39422995,-0.51635110,0.02154340,-0.00004450,-0.00001907,-0.00127131,0.64999986,-0.00127224
3.20000000,6.71714735,0.78366071,0.04614493,0.01900113,-0.00103278,0.89624947,-0.44314194,-0.39424336,-0.51634085,0.02154371,-0.00004578,-0.00001962,-0.00130799,0.64999986,-0.00130894
3.22000000,6.70926237,0.77333403,0.04657581,0.01900115,-0.00103252,0.89625543,-0.44312993,-0.39425719,-0.51633024,0.02154404,-0.00004717,-0.00002022,-0.00134776,0.64999986,-0.00134874
3.24000000,6.70137691,0.76300758,0.04700669,0.01900116,-0.00103226,0.89626151,-0.44311753,-0.39427146,-0.51631933,0.02154437,-0.00004868,-0.00002086,-0.00139096,0.64999986,-0.00139197
3.26000000,6.69349146,0.75268137,0.04743759,0.01900118,-0.00103199,0.89626783,-0.44310474,-0.39428619,-0.51630807,0.02154472,-0.00005033,-0.00002157,-0.00143799,0.64999986,-0.00143904
3.28000000,6.68559933,0.74236774,0.04786851,0.01900184,-0.00101973,0.89655370,-0.44252613,-0.39476693,-0.51555592,0.02155026,-0.00225109,-0.00096475,-0.06431635,0.64969474,-0.06436297
3.30000000,6.67769384,0.73206413,0.04829975,0.01900249,-0.00100758,0.89683646,-0.44195279,-0.39542922,-0.51505446,0.02156592,-0.00223041,-0.00095588,-0.06372559,0.64970028,-0.06377178
3.32000000,6.66977549,0.72177052,0.04873130,0.01900312,-0.00099553,0.89711648,-0.44138405,-0.39608493,-0.51455587,0.02158139,-0.00221240,-0.00094817,-0.06321118,0.64970511,-0.06325699
3.34000000,6.66184425,0.71148688,0.04916316,0.01900375,-0.00098356,0.89739418,-0.44081923,-0.39673483,-0.51405936,0.02159669,-0.00219718,-0.00094164,-0.06277622,0.64970917,-0.06282172
3.36000000,6.65389967,0.70121312,0.04959532,0.01900436,-0.00097167,0.89766985,-0.44025761,-0.39737982,-0.51356447,0.02161184,-0.00218487,-0.00093637,-0.06242445,0.64971244,-0.06246970
3.38000000,6.64594269,0.69094926,0.05002778,0.01900496,-0.00095983,0.89794391,-0.43969837,-0.39802074,-0.51307034,0.02162686,-0.00217563,-0.00093241,-0.06216044,0.64971483,-0.06220549
3.40000000,6.63797235,0.68069524,0.05046054,0.01900555,-0.00094803,0.89821678,-0.43914071,-0.39865851,-0.51257628,0.02164177,-0.00216965,-0.00092985,-0.06198966,0.64971644,-0.06203459
3.42000000,6.62999105,0.67045742,0.05089347,0.01900635,-0.00093194,0.89858824,-0.43838006,-0.39917874,-0.51145500,0.02164316,-0.00375210,-0.00160803,-0.10720218,0.64915204,-0.10727987
3.44000000,6.62199068,0.66024089,0.05132672,0.01900733,-0.00091169,0.89905471,-0.43742254,-0.40027758,-0.51061529,0.02166903,-0.00371554,-0.00159237,-0.10615776,0.64916843,-0.10623471
3.46000000,6.61396885,0.65004116,0.05176048,0.01900828,-0.00089163,0.89951605,-0.43647310,-0.40136367,-0.50977921,0.02169450,-0.00368336,-0.00157858,-0.10523835,0.64918280,-0.10531462
3.48000000,6.60592556,0.63985807,0.05219475,0.01900920,-0.00087171,0.89997280,-0.43553057,-0.40243828,-0.50894582,0.02171961,-0.00365572,-0.00156673,-0.10444865,0.64919502,-0.10452435
3.50000000,6.59786081,0.62969160,0.05264021,0.02125711,-0.00193873,0.90036178,-0.43461829,-0.40335768,-0.50813919,0.02375634,-0.00415099,-0.00155663,-0.10377501,0.64920509,-0.10386966
